#target name         accession query name                    accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- ----------------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
JAAYCJ010000321.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2828     2780      -    no    1 0.73   0.0   56.2     3e-07 !   Phycisphaerae bacterium isolate AS06rmzACSIP_418 543678_AS06, whole genome shotgun sequence
NZ_RCVT01000002.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   562199   562148      -    no    1 0.71   0.0   35.9      0.15 !   Sphingomonas sp. MA1305 2, whole genome shotgun sequence
NZ_BMZP01000015.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    46929    46875      -    no    1 0.71   0.0   35.9      0.15 !   Novosphingobium pokkalii strain KCTC 42224 sequence15, whole genome shotgun sequence
NZ_AP012547.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1793597  1793654      +    no    1 0.53   0.0   35.9      0.15 !   Sulfuritalea hydrogenivorans sk43H strain DSM 22779 chromosome, complete genome
NC_010501.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3398542  3398485      -    no    1 0.59   0.0   35.8      0.15 !   Pseudomonas putida W619, complete sequence
NZ_CP016170.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  4341215  4341164      -    no    1 0.69   0.0   35.8      0.16 !   Bordetella bronchialis strain AU3182 chromosome, complete genome
NZ_JACHCZ010000003.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   238293   238236      -    no    1 0.59   0.0   35.8      0.16 !   Pseudomonas sp. JAI120 Ga0401626_03, whole genome shotgun sequence
NZ_CP061179.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   251608   251556      -    no    1 0.75   0.1   35.8      0.16 !   Roseomonas sp. 546 plasmid p546-2
QZKR01000052.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    15593    15536      -    no    1 0.52   0.0   35.8      0.16 !   Myxococcales bacterium isolate SURF_8 Ga0104751_1001789, whole genome shotgun sequence
MHFL01000063.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1613     1567      -    no    1 0.57   0.0   35.8      0.16 !   Omnitrophica bacterium RIFCSPLOWO2_01_FULL_45_10 rifcsplowo2_01_scaffold_97225, whole genome shotgun sequence
MHYA01000149.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7504     7459      -    no    1 0.57   0.0   35.8      0.16 !   Planctomycetes bacterium GWF2_42_9 gwf2_scaffold_4779, whole genome shotgun sequence
NZ_CP021455.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2421548  2421499      -    no    1 0.70   0.0   35.8      0.16 !   Comamonas serinivorans strain DSM 26136 chromosome, complete genome
NZ_JADOVJ010000001.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5349153  5349207      +    no    1 0.67   0.0   35.8      0.16 !   Nocardioides luteus strain SAI-037 Ga0373784_01, whole genome shotgun sequence
MGVS01000085.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9181     9127      -    no    1 0.42   0.0   35.7      0.16 !   Elusimicrobia bacterium RIFOXYD2_FULL_34_15 rifoxyd2_full_scaffold_422, whole genome shotgun sequence
JACRBZ010000105.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    34673    34722      +    no    1 0.50   0.0   35.7      0.16 !   Deltaproteobacteria bacterium isolate NC_groundwater_1633_Pr3_B-0.1um_51_17 SR-2_scaffold_141_3989413, whole genome shotgun sequence
NZ_RJAC01000106.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      536      582      +    no    1 0.53   0.0   35.7      0.16 !   Actinoplanes sp. LAM7112 C_Contig108, whole genome shotgun sequence
NZ_JFYL01000089.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1912     1958      +    no    1 0.53   0.0   35.7      0.16 !   Acinetobacter sp. Ver3 contig00089, whole genome shotgun sequence
NZ_JFYL01000096.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     6757     6803      +    no    1 0.53   0.0   35.7      0.16 !   Acinetobacter sp. Ver3 contig00096, whole genome shotgun sequence
MGQQ01000090.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10121    10180      +    no    1 0.48   0.0   35.7      0.17 !   Deltaproteobacteria bacterium RBG_16_49_23 RBG_16_scaffold_3279, whole genome shotgun sequence
SEFZ01000037.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    42663    42615      -    no    1 0.73   0.0   35.7      0.17 !   Sphingomonadales bacterium isolate PMG_139 scaffold_1106, whole genome shotgun sequence
VGTB01000002.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    10251    10205      -    no    1 0.53   0.0   35.7      0.17 !   Deltaproteobacteria bacterium isolate M_DeepCast_400m_m1_009 M_DeepCast_400m_m1_009_Ga0194112_10000346, whole genome shotgun sequence
NZ_JAAMQU010000004.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   319381   319436      +    no    1 0.61   0.0   35.7      0.17 !   Pseudomonas japonica strain 66C3 NODE_4_length_436537_cov_49.869620, whole genome shotgun sequence
JACRCW010000166.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    28990    29039      +    no    1 0.74   0.0   35.7      0.17 !   Deltaproteobacteria bacterium isolate NC_groundwater_1656_Pr3_B-0.1um_70_40 SR-2_scaffold_141_4149839, whole genome shotgun sequence
JH599913.1           -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2297     2246      -    no    1 0.62   0.0   35.7      0.17 !   Acetobacteraceae bacterium AT-5844 genomic scaffold Scfld5, whole genome shotgun sequence
JADGAN010000010.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    18813    18754      -    no    1 0.47   0.0   35.7      0.17 !   Oligoflexia bacterium isolate nN3bin31 nN3_bin31_NODE_10_length_129240_cov_16.369932, whole genome shotgun sequence
WOZK01000005.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    51452    51404      -    no    1 0.51   0.0   35.7      0.17 !   Candidatus Omnitrophica bacterium isolate WOFB22 NODE_199_length_57049_cov_53.860424, whole genome shotgun sequence
NZ_BBNM01000004.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   197055   197101      +    no    1 0.53   0.0   35.7      0.17 !   Acinetobacter soli strain KCTC 22184, whole genome shotgun sequence
NZ_CP050854.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3524801  3524744      -    no    1 0.60   0.0   35.7      0.17 !   Brenneria izadpanahii strain Iran 50 chromosome, complete genome
NC_014924.1          -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  1178892  1178844      -    no    1 0.88   6.9   35.7      0.17 !   Pseudoxanthomonas suwonensis 11-1, complete sequence
NZ_AWOR01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   565792   565733      -    no    1 0.67   0.0   35.7      0.17 !   Comamonas testosteroni strain JL40 contig1, whole genome shotgun sequence
JACRMN010000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   102512   102570      +    no    1 0.68   0.0   35.6      0.17 !   Deltaproteobacteria bacterium isolate NC_groundwater_1908_Pr3_S2p5_74_37 SR2-18-S2p5_coassembly_scaffold_124053, whole genome shotgun sequence
NZ_CP049905.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3119193  3119137      -    no    1 0.65   0.0   35.6      0.17 !   Diaphorobacter sp. HDW4B chromosome, complete genome
NZ_LAJG01000014.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   880248   880287      +    no    1 0.60   0.0   35.6      0.17 !   Devosia soli strain GH2-10 NODE_14, whole genome shotgun sequence
NZ_CP077094.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  2142547  2142490      -    no    1 0.59   0.0   35.6      0.18 !   Pseudomonas sp. RW10S1 chromosome, complete genome
JACMQD010000297.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    13653    13701      +    no    1 0.61   0.0   35.6      0.18 !   Herminiimonas sp. isolate LF-bin-404 FL-bin-404-contig-k141_1337494, whole genome shotgun sequence
JAFGHH010000055.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2070     2022      -    no    1 0.80   0.2   35.6      0.18 !   Deltaproteobacteria bacterium isolate Zod_Metabat.1445 k87_842068, whole genome shotgun sequence
VGXH01000164.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3361     3305      -    no    1 0.75   0.1   35.6      0.18 !   Bacterium isolate K_DeepCast_100m_m2_307 K_DeepCast_100m_m2_307_Ga0194127_10023575, whole genome shotgun sequence
CAIVVZ010000058.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      756      805      +    no    1 0.52   0.0   35.6      0.18 !   uncultured Desulfobacteraceae bacterium isolate AlinenLipids_bin-9448 genome assembly, contig: bin-9448:058/658, whole genome shotgun sequence
NZ_CP036294.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  3237855  3237795      -    no    1 0.59   0.0   35.6      0.18 !   Alcaligenes faecalis strain AN70 chromosome, complete genome
NZ_FRBQ01000005.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      704      757      +    no    1 0.61   0.0   35.6      0.18 !   Pseudomonas punonensis strain CECT 8089, whole genome shotgun sequence
SXRM01000411.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     4762     4807      +    no    1 0.65   0.0   35.6      0.18 !   Proteobacteria bacterium isolate F1-140-MAGs058 F1-140__c529555, whole genome shotgun sequence
CAINFC010000061.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    31656    31712      +    no    1 0.61   0.0   35.5      0.18 !   uncultured Acidobacteria bacterium isolate LaPlata_bin-3695 genome assembly, contig: bin-3695:061/326, whole genome shotgun sequence
JAEUIC010000039.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    68793    68747      -    no    1 0.74   0.0   35.5      0.19 !   Planctomycetes bacterium isolate new MAG-33 k141_410223, whole genome shotgun sequence
NZ_BBIS01000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    90519    90462      -    no    1 0.62   0.0   35.5      0.19 !   Pseudomonas monteilii NBRC 103158 = DSM 14164 strain NBRC 103158, whole genome shotgun sequence
JAEUHA010000092.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    11266    11219      -    no    1 0.73   0.0   35.5      0.19 !   Opitutaceae bacterium isolate new MAG-5 k141_2764874, whole genome shotgun sequence
MAEO01000082.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    25311    25366      +    no    1 0.46   0.0   35.5      0.19 !   Smithella sp. M82 Smithella_M82_scaffold_143, whole genome shotgun sequence
JAGVTI010000329.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3422     3368      -    no    1 0.47   0.0   35.5      0.19 !   MAG: Deltaproteobacteria bacterium isolate THP_Bin_25 THP_Bin_25_scaffold_806, whole genome shotgun sequence
NZ_KB849584.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1654     1700      +    no    1 0.45   0.0   35.5      0.19 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.5, whole genome shotgun sequence
NZ_KB849584.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9010     9056      +    no    1 0.45   0.0   35.5      0.19 !   Acinetobacter schindleri CIP 107287 acLsx-supercont1.5, whole genome shotgun sequence
JACPDS010000078.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      617      568      -    no    1 0.50   0.0   35.4       0.2 !   Armatimonadetes bacterium isolate NC_groundwater_315_Ag_B-0.1um_31_7 GD18-4_B1_scaffold_516087, whole genome shotgun sequence
NZ_SMKH01000126.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49      161      104      -    no    1 0.72   0.0   35.4       0.2 !   Actinomadura sp. KC345 NODE_126_length_20866_cov_15.5353, whole genome shotgun sequence
NZ_JACAOZ010000015.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    80738    80680      -    no    1 0.56   0.0   35.4       0.2 !   Pseudomonas edaphica strain B7002 run0228_B7002_S27_L005_contig_15, whole genome shotgun sequence
NZ_FNOX01000006.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   115256   115198      -    no    1 0.56   0.0   35.4       0.2 !   Pseudomonas salomonii strain ICMP 14252, whole genome shotgun sequence
JAEUGZ010000139.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     3823     3777      -    no    1 0.57   0.0   35.4       0.2 !   Opitutaceae bacterium isolate new MAG-4 k141_3087453, whole genome shotgun sequence
NZ_LMLU01000005.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   475230   475279      +    no    1 0.72   0.0   35.4      0.21 !   Arthrobacter sp. Leaf234 contig_2, whole genome shotgun sequence
JAGXSW010000191.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    11514    11573      +    no    1 0.50   0.0   35.3      0.21 !   Syntrophaceae bacterium isolate CROMO_BS_212_2_0 c_000000712752, whole genome shotgun sequence
JAAYUJ010000184.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2520     2569      +    no    1 0.66   0.0   35.3      0.21 !   Deltaproteobacteria bacterium isolate AS27yjCOA_149 25021_AS27, whole genome shotgun sequence
LSIB01000006.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     7563     7511      -    no    1 0.75   0.1   35.3      0.22 !   Rhizobiales bacterium CCH3-A5 CCH3-A5_contig6, whole genome shotgun sequence
NZ_ATGG01000060.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9484     9532      +    no    1 0.45   0.0   35.3      0.22 !   Acinetobacter gyllenbergii CIP 110306 acVBN-supercont1.60, whole genome shotgun sequence
NZ_LXUK01000022.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   119067   119115      +    no    1 0.45   0.0   35.3      0.22 !   Acinetobacter sp. Ac_5812 contig_3, whole genome shotgun sequence
PHFB01000002.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   474869   474922      +    no    1 0.57   0.0   35.3      0.22 !   Actinobacteria bacterium HGW-Actinobacteria-1 bjp_ig2102_scaffold_53, whole genome shotgun sequence
DBPV01000106.1       -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    70404    70455      +    no    1 0.52   0.0   35.2      0.23 !   TPA_asm: Syntrophaceae bacterium UBA1411 UBA1411_contig_13119, whole genome shotgun sequence
NZ_WLYL01000059.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2948     2902      -    no    1 0.49   0.0   35.2      0.23 !   Acinetobacter sp. YIM 103518 Scaffold59_1, whole genome shotgun sequence
NZ_BCNT01000001.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   292026   291976      -    no    1 0.69   0.0   35.2      0.24 !   Comamonas terrae strain NBRC 106524, whole genome shotgun sequence
NZ_CP013140.1        -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49  5368946  5368889      -    no    1 0.66   0.0   35.1      0.24 !   Lysobacter enzymogenes strain C3 chromosome
NZ_FNOG01000011.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49   122327   122384      +    no    1 0.66   0.0   35.1      0.24 !   Lysobacter enzymogenes strain ATCC 29487, whole genome shotgun sequence
JAGPKU010000022.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9621     9667      +    no    1 0.72   0.0   35.1      0.24 !   Syntrophobacterales bacterium isolate Gw_SlDig_bin_8 Gw_SlDig_1846_length_34250_cov_51.165636, whole genome shotgun sequence
NZ_BJTG01000009.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49    79322    79373      +    no    1 0.77   0.1   35.1      0.24 !   Anaeromyxobacter sp. Red267 sequence09, whole genome shotgun sequence
NZ_JACWEU010000011.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     2308     2262      -    no    1 0.47   0.0   35.1      0.24 !   Acinetobacter lwoffii strain SU1904 scaffold_10, whole genome shotgun sequence
NZ_RAXV01000058.1    -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     1368     1414      +    no    1 0.47   0.0   35.1      0.24 !   Acinetobacter sp. WCHAc060012 58, whole genome shotgun sequence
NZ_CABVGP010000006.1 -         DUF1646_nhaA-I.fna.motif.h2_1 -          cm        1       49     9671     9625      -    no    1 0.47   0.0   35.1      0.24 !   Amycolatopsis sp. A23 isolate AA231_1, whole genome shotgun sequence
