#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_AP025193.1        -         nhaA-I               RF03057    cm        1       55  1096102  1096039      -    no    1 0.72   0.0   45.6     0.002 !   Comamonas thiooxydans strain NR4028 chromosome, complete genome
NZ_KE386571.1        -         nhaA-I               RF03057    cm        1       55  2403106  2403054      -    no    1 0.75   0.1   45.6     0.002 !   Sphingomonas phyllosphaerae FA2 SphspDRAFT_scaffold1.1, whole genome shotgun sequence
NZ_JAJAVF010000002.1 -         nhaA-I               RF03057    cm        1       55  1553253  1553197      -    no    1 0.65   0.0   45.6     0.002 !   Methylobacillus methanolivorans strain VKM B-3037 platanus_K_25_97_2, whole genome shotgun sequence
NZ_CP058354.1        -         nhaA-I               RF03057    cm        1       55  3897011  3897064      +    no    1 0.69   0.0   45.6     0.002 !   Bradyrhizobium japonicum strain 5038 chromosome, complete genome
NZ_FRDA01000020.1    -         nhaA-I               RF03057    cm        1       55    11572    11630      +    no    1 0.66   0.0   45.6     0.002 !   Pseudomonas asturiensis strain LMG 26898, whole genome shotgun sequence
NZ_JACONV010000038.1 -         nhaA-I               RF03057    cm        1       55     5092     5034      -    no    1 0.66   0.0   45.6     0.002 !   Pseudomonas triticumensis strain DOAB 1067 DOAB1067_contig_38, whole genome shotgun sequence
NZ_LT629704.1        -         nhaA-I               RF03057    cm        1       55  4784437  4784379      -    no    1 0.68   0.0   45.6     0.002 !   Pseudomonas antarctica strain LMG 22709 chromosome I
NZ_JAAIVB010000045.1 -         nhaA-I               RF03057    cm        1       55    76561    76511      -    no    1 0.71   0.0   45.6     0.002 !   Noviherbaspirillum galbum strain 17J57-3 31415.17J573.1_45_17J573.00045_31415.17J573.1, whole genome shotgun sequence
NZ_MDUX01000014.1    -         nhaA-I               RF03057    cm        1       55    12710    12658      -    no    1 0.62   0.0   45.6    0.0021 !   Candidatus Dactylopiibacterium carminicum isolate END1 NODE_382_length_65889_cov_7.1956_ID_949, whole genome shotgun sequence
NZ_CP030051.1        -         nhaA-I               RF03057    cm        1       55  5078374  5078322      -    no    1 0.72   0.0   45.5    0.0021 !   Bradyrhizobium guangdongense strain CCBAU 51649 chromosome, complete genome
NZ_FRCX01000004.1    -         nhaA-I               RF03057    cm        1       55    85626    85574      -    no    1 0.72   0.0   45.5    0.0021 !   Duganella sacchari strain Sac-22, whole genome shotgun sequence
NZ_BPQR01000010.1    -         nhaA-I               RF03057    cm        1       55    63790    63735      -    no    1 0.77   0.3   45.5    0.0021 !   Methylobacterium jeotgali strain LMG 23639 entry10, whole genome shotgun sequence
NZ_CP077094.1        -         nhaA-I               RF03057    cm        1       55  2142550  2142489      -    no    1 0.60   0.0   45.5    0.0021 !   Pseudomonas promysalinigenes strain RW10S1 chromosome, complete genome
NZ_BQIP01000024.1    -         nhaA-I               RF03057    cm        1       55    37874    37812      -    no    1 0.60   0.0   45.5    0.0022 !   Pseudomonas faucium strain BML-PP048 sequence24, whole genome shotgun sequence
NZ_FORC01000002.1    -         nhaA-I               RF03057    cm        1       55   610316   610374      +    no    1 0.71   0.0   45.5    0.0022 !   Pseudomonas argentinensis strain LMG 22563, whole genome shotgun sequence
NZ_VKHP01000112.1    -         nhaA-I               RF03057    cm        1       55    22302    22352      +    no    1 0.67   0.0   45.4    0.0022 !   Bradyrhizobium uaiense strain UFLA03-164 NODE_111_length_28969_cov_7.462381, whole genome shotgun sequence
NZ_JAAEDI010000044.1 -         nhaA-I               RF03057    cm        1       55    24257    24314      +    no    1 0.72   0.1   45.4    0.0023 !   Roseomonas terrae strain LMG 31159 contig00044, whole genome shotgun sequence
NZ_BAYA01000048.1    -         nhaA-I               RF03057    cm        1       55     6794     6850      +    no    1 0.65   0.0   45.4    0.0023 !   Paraburkholderia bannensis NBRC 103871, whole genome shotgun sequence
NZ_JAAAPO010000004.1 -         nhaA-I               RF03057    cm        1       55   302082   302026      -    no    1 0.60   0.0   45.4    0.0023 !   Novosphingobium ovatum strain FSY-8 contig00004, whole genome shotgun sequence
NZ_BBJH01000023.1    -         nhaA-I               RF03057    cm        1       55    64103    64047      -    no    1 0.67   0.0   45.4    0.0023 !   Paraburkholderia heleia NBRC 101817, whole genome shotgun sequence
NZ_CP082965.1        -         nhaA-I               RF03057    cm        1       55   650538   650482      -    no    1 0.70   0.0   45.3    0.0023 !   Achromobacter mucicolens strain IA chromosome
NZ_CP035708.1        -         nhaA-I               RF03057    cm        1       55  1691392  1691336      -    no    1 0.75   0.1   45.3    0.0024 !   Sphaerotilus sulfidivorans strain D-507 chromosome, complete genome
NZ_CP049362.1        -         nhaA-I               RF03057    cm        1       55  1448194  1448129      -    no    1 0.61   0.0   45.3    0.0024 !   Alcaligenes ammonioxydans strain HO-1 chromosome, complete genome
NZ_JAANPV010000010.1 -         nhaA-I               RF03057    cm        1       55   131181   131123      -    no    1 0.64   0.0   45.3    0.0024 !   Paenalcaligenes suwonensis strain 191B Peanalcaligenes_suwonensis_191B_Contig_10, whole genome shotgun sequence
NZ_CP050854.1        -         nhaA-I               RF03057    cm        1       55  3524804  3524744      -    no    1 0.62   0.0   45.3    0.0024 !   Brenneria izadpanahii strain Iran 50 chromosome, complete genome
NZ_CP030050.1        -         nhaA-I               RF03057    cm        1       55  4780295  4780243      -    no    1 0.60   0.0   45.2    0.0025 !   Bradyrhizobium arachidis strain CCBAU 051107 chromosome, complete genome
NZ_JACHOU010000003.1 -         nhaA-I               RF03057    cm        1       55    51039    50990      -    no    1 0.72   0.1   45.2    0.0025 !   Aminobacter aganoensis strain DSM 7051 Ga0373208_03, whole genome shotgun sequence
NZ_JAAIXY010000003.1 -         nhaA-I               RF03057    cm        1       55   189301   189356      +    no    1 0.73   0.1   45.2    0.0026 !   Myxococcus eversor strain AB053B NODE_3_length_627607_cov_15.2647, whole genome shotgun sequence
NZ_CP054624.1        -         nhaA-I               RF03057    cm        1       55  1865126  1865175      +    no    1 0.74   0.0   45.1    0.0026 !   Cupriavidus gilardii strain FDAARGOS_639 chromosome 1, complete sequence
NZ_LAJG01000014.1    -         nhaA-I               RF03057    cm        1       55   880245   880288      +    no    1 0.64   0.0   45.1    0.0027 !   Devosia soli strain GH2-10 NODE_14, whole genome shotgun sequence
NZ_CADEPJ010000118.1 -         nhaA-I               RF03057    cm        1       55     6792     6734      -    no    1 0.69   0.0   45.0    0.0027 !   Comamonas jiangduensis isolate Q1714, whole genome shotgun sequence
NZ_BPQO01000002.1    -         nhaA-I               RF03057    cm        1       55   262943   262888      -    no    1 0.82   4.1   45.0    0.0028 !   Methylobacterium hispanicum strain DSM 16372 entry2, whole genome shotgun sequence
NZ_FOLD01000034.1    -         nhaA-I               RF03057    cm        1       55    51447    51395      -    no    1 0.70   0.0   45.0    0.0028 !   Massilia yuzhufengensis strain CGMCC 1.12041, whole genome shotgun sequence
NZ_AP013103.1        -         nhaA-I               RF03057    cm        1       55  3368812  3368864      +    no    1 0.72   0.0   44.9     0.003 !   Bradyrhizobium elkanii USDA 61 chromosome, complete genome
NZ_WNKY01000011.1    -         nhaA-I               RF03057    cm        1       55    39452    39400      -    no    1 0.68   0.0   44.9     0.003 !   Duganella radicis strain KCTC 22382 NODE_11_length_165443_cov_36.229591_11, whole genome shotgun sequence
NZ_CP016278.1        -         nhaA-I               RF03057    cm        1       55  3648215  3648155      -    no    1 0.72   0.1   44.9     0.003 !   Diaphorobacter nitroreducens strain SL-205 chromosome, complete genome
NZ_FMTP01000001.1    -         nhaA-I               RF03057    cm        1       55    50771    50829      +    no    1 0.71   0.0   44.9     0.003 !   Ancylobacter rudongensis strain CGMCC 1.1761, whole genome shotgun sequence
NZ_FMZC01000002.1    -         nhaA-I               RF03057    cm        1       55   308841   308789      -    no    1 0.70   0.0   44.9    0.0031 !   Acidovorax valerianellae strain DSM 16619, whole genome shotgun sequence
NC_010571.1          -         nhaA-I               RF03057    cm        1       55  2735255  2735205      -    no    1 0.59   0.0   44.8    0.0031 !   Opitutus terrae PB90-1, complete sequence
NZ_JAFFZW010000002.1 -         nhaA-I               RF03057    cm        1       55   624293   624351      +    no    1 0.68   0.0   44.8    0.0031 !   Pseudomonas alliivorans strain 20GA0068 Pa20_1_NODE_2_length_993034_cov_74.828538, whole genome shotgun sequence
NZ_CP029343.1        -         nhaA-I               RF03057    cm        1       55  1142497  1142444      -    no    1 0.69   0.0   44.8    0.0031 !   Massilia oculi strain CCUG 43427 chromosome, complete genome
NZ_BCUG01000052.1    -         nhaA-I               RF03057    cm        1       55    19938    19996      +    no    1 0.66   0.0   44.7    0.0033 !   Thauera butanivorans NBRC 103042, whole genome shotgun sequence
NZ_BCZZ01000017.1    -         nhaA-I               RF03057    cm        1       55    14977    15034      +    no    1 0.67   0.0   44.7    0.0033 !   Pseudomonas flavescens NBRC 103044, whole genome shotgun sequence
NZ_RSED01000004.1    -         nhaA-I               RF03057    cm        1       55    19243    19294      +    no    1 0.73   0.7   44.7    0.0033 !   Aquabacterium soli strain SJQ9 Scaffold4, whole genome shotgun sequence
NZ_KB892846.1        -         nhaA-I               RF03057    cm        1       55     8681     8624      -    no    1 0.67   0.1   44.7    0.0034 !   Uliginosibacterium gangwonense DSM 18521 B145DRAFT_scaffold_2.3, whole genome shotgun sequence
NZ_NESP01000001.1    -         nhaA-I               RF03057    cm        1       55  2082615  2082667      +    no    1 0.57   0.0   44.7    0.0034 !   Limnohabitans curvus strain MWH-C5 LimA-MWH-C5-C1, whole genome shotgun sequence
NZ_CP022562.1        -         nhaA-I               RF03057    cm        1       55  2634105  2634043      -    no    1 0.65   0.0   44.6    0.0034 !   Pseudomonas monteilii strain B5 chromosome, complete genome
NZ_BMKH01000003.1    -         nhaA-I               RF03057    cm        1       55   151858   151913      +    no    1 0.71   0.7   44.6    0.0035 !   Siccirubricoccus deserti strain CGMCC 1.15936 sequence003, whole genome shotgun sequence
NZ_SMFY01000002.1    -         nhaA-I               RF03057    cm        1       55  1281110  1281052      -    no    1 0.69   0.0   44.6    0.0036 !   Ancylobacter aquaticus strain DSM 101 Ga0310526_102, whole genome shotgun sequence
NZ_MLCO01000091.1    -         nhaA-I               RF03057    cm        1       55     4653     4598      -    no    1 0.71   0.1   44.5    0.0037 !   Roseomonas deserti strain M3 M3_S294_L001_R1_001_(paired)_contig_91, whole genome shotgun sequence
NZ_LT629751.1        -         nhaA-I               RF03057    cm        1       55  3642750  3642808      +    no    1 0.66   0.0   44.5    0.0038 !   Pseudomonas oryzae strain KCTC 32247 chromosome I
NZ_SACO01000031.1    -         nhaA-I               RF03057    cm        1       55     1178     1234      +    no    1 0.65   0.0   44.4    0.0038 !   Novosphingobium umbonatum strain FSY-9 NODE_31_length_6049_cov_98, whole genome shotgun sequence
NZ_SPVF01000084.1    -         nhaA-I               RF03057    cm        1       55    25849    25799      -    no    1 0.75   0.0   44.4    0.0039 !   Massilia arenosa strain MC02 EFN1C69W38, whole genome shotgun sequence
NZ_BPQT01000007.1    -         nhaA-I               RF03057    cm        1       55    78267    78323      +    no    1 0.72   0.2   44.4    0.0039 !   Methylobacterium marchantiae strain DSM 21328 entry7, whole genome shotgun sequence
NZ_CP047650.1        -         nhaA-I               RF03057    cm        1       55  5461900  5461845      -    no    1 0.71   0.0   44.4     0.004 !   Xylophilus rhododendri strain KACC 21265 chromosome, complete genome
NZ_LYMM01000001.1    -         nhaA-I               RF03057    cm        1       55   214732   214787      +    no    1 0.71   0.1   44.3     0.004 !   Novosphingobium guangzhouense strain SA925 contig-123_0, whole genome shotgun sequence
NZ_JACIJJ010000004.1 -         nhaA-I               RF03057    cm        1       55   497400   497346      -    no    1 0.65   0.0   44.3    0.0041 !   Sphingomonas yantingensis strain DSM 27244 Ga0373344_04, whole genome shotgun sequence
NZ_BMEU01000011.1    -         nhaA-I               RF03057    cm        1       55    61196    61249      +    no    1 0.69   0.0   44.3    0.0041 !   Comamonas phosphati strain CGMCC 1.12294 sequence11, whole genome shotgun sequence
NZ_BMYK01000004.1    -         nhaA-I               RF03057    cm        1       55   466587   466536      -    no    1 0.79   0.7   44.3    0.0042 !   Pseudorhodoferax aquiterrae strain KCTC 23314 sequence04, whole genome shotgun sequence
NZ_BMYS01000009.1    -         nhaA-I               RF03057    cm        1       55    56339    56397      +    no    1 0.59   0.0   44.3    0.0043 !   Advenella faeciporci strain KCTC 23732 sequence09, whole genome shotgun sequence
NZ_KE384459.1        -         nhaA-I               RF03057    cm        1       55    88135    88194      +    no    1 0.73   0.0   44.2    0.0043 !   Pseudomonas vranovensis DSM 16006 H621DRAFT_scaffold00014.14, whole genome shotgun sequence
NZ_AP018664.1        -         nhaA-I               RF03057    cm        1       55   636415   636358      -    no    1 0.71   0.2   44.2    0.0043 !   Sphingobium amiense strain DSM 16289 chromosome, complete genome
NZ_CP022390.1        -         nhaA-I               RF03057    cm        1       55   593158   593093      -    no    1 0.58   0.0   44.2    0.0043 !   Alcaligenes aquatilis strain BU33N chromosome
