#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_MZGT01000054.1    -         Sodium               RF03071    cm        1       55     4934     4990      +    no    1 0.37   0.0   66.8     1e-08 !   Clostridium chromiireducens strain DSM 23318 CLCHR_contig000054, whole genome shotgun sequence
NZ_AYZB01000021.1    -         Sodium               RF03071    cm        1       55     8335     8288      -    no    1 0.44   0.0   28.8        45 ?   Lactobacillus graminis DSM 20719 NODE_28, whole genome shotgun sequence
CAIYES010000243.1    -         Sodium               RF03071    cm        1       55    10812    10861      +    no    1 0.30   0.0   28.8        46 ?   uncultured Bacteroidales bacterium isolate Kiruna2_bin-1621 genome assembly, contig: bin-1621:243/574, whole genome shotgun sequence
NZ_RHNS01000013.1    -         Sodium               RF03071    cm        1       55    53386    53430      +    no    1 0.53   0.0   28.8        46 ?   Lactobacillus porcinae strain JCM 19617 contig13, whole genome shotgun sequence
WVIC01000052.1       -         Sodium               RF03071    cm        1       55    25765    25820      +    no    1 0.29   0.0   28.7        48 ?   Synechococcales cyanobacterium C NODE_663_length_28374_cov_123.750274, whole genome shotgun sequence
NZ_AZFI01000157.1    -         Sodium               RF03071    cm        1       55     2023     1974      -    no    1 0.52   0.0   28.7        48 ?   Lactobacillus acidipiscis DSM 15836 Scaffold157, whole genome shotgun sequence
JAAHIH010000004.1    -         Sodium               RF03071    cm        1       55   780998   781054      +    no    1 0.53   0.0   28.7        49 ?   Moorea sp. SIOASIH ASIH_NODE_4, whole genome shotgun sequence
WFZV01000187.1       -         Sodium               RF03071    cm        1       55      311      259      -    no    1 0.23   0.2   28.7        50 ?   Bacteroidales bacterium isolate S143_33 k151_435586, whole genome shotgun sequence
CP076458.1           -         Sodium               RF03071    cm        1       55  2317886  2317821      -    no    1 0.42   0.0   28.6        51 ?   Lachnospiraceae bacterium strain JN500902 chromosome, complete genome
NZ_BFFP01000011.1    -         Sodium               RF03071    cm        1       55    52542    52590      +    no    1 0.51   0.0   28.6        52 ?   Lactobacillus salitolerans strain YK43 sequence011, whole genome shotgun sequence
JABXJX010000006.1    -         Sodium               RF03071    cm        1       55    30677    30622      -    no    1 0.38   0.0   28.6        53 ?   Desulfobacterales bacterium isolate CR_Bin_073 NODE_6_length_48005_cov_6.538579, whole genome shotgun sequence
NZ_CP032931.1        -         Sodium               RF03071    cm        1       55   514911   514959      +    no    1 0.55   0.0   28.5        53 ?   Levilactobacillus brevis strain CD0817 chromosome, complete genome
DUCA01000189.1       -         Sodium               RF03071    cm        1       55     4414     4474      +    no    1 0.46   0.0   28.5        53 ?   TPA_asm: Cycloclasticus sp. isolate UWMA-0316 NODE_6367_length_12939_cov_0.578738, whole genome shotgun sequence
JAFTDE010000009.1    -         Sodium               RF03071    cm        1       55    10294    10238      -    no    1 0.26   0.1   28.5        53 ?   Bacteroidales bacterium isolate RGIG3711 Goat_Rumen.Co__c506159, whole genome shotgun sequence
NZ_RHNS01000014.1    -         Sodium               RF03071    cm        1       55    15906    15947      +    no    1 0.55   0.0   28.5        54 ?   Lactobacillus porcinae strain JCM 19617 contig14, whole genome shotgun sequence
NZ_AZEU01000034.1    -         Sodium               RF03071    cm        1       55    16798    16757      -    no    1 0.55   0.0   28.5        54 ?   Lactobacillus manihotivorans DSM 13343 = JCM 12514 strain DSM 13343 NODE_50, whole genome shotgun sequence
JABHBL010000043.1    -         Sodium               RF03071    cm        1       55    25417    25369      -    no    1 0.41   0.0   28.5        55 ?   MAG: Candidatus Marinimicrobia bacterium isolate SI036_bin79 k141_499835, whole genome shotgun sequence
NZ_BONQ01000150.1    -         Sodium               RF03071    cm        1       55    27439    27483      +    no    1 0.53   0.0   28.5        56 ?   Dactylosporangium siamense strain NBRC 106093 sequence150, whole genome shotgun sequence
PNNA01000028.1       -         Sodium               RF03071    cm        1       55    48875    48831      -    no    1 0.24   0.1   28.4        56 ?   Flavobacterium sp. isolate BC.034 BC_1000212_81989, whole genome shotgun sequence
JAHPZH010000006.1    -         Sodium               RF03071    cm        1       55     7857     7906      +    no    1 0.26   0.1   28.4        57 ?   MAG: Candidatus Helarchaeota archaeon isolate LW55_61 NODE_40_length_313714_cov_16.157241, whole genome shotgun sequence
JABXKI010000265.1    -         Sodium               RF03071    cm        1       55     3589     3539      -    no    1 0.41   0.0   28.4        57 ?   Nostoc sp. NMS4 NODE_623_length_73385_cov_15.546, whole genome shotgun sequence
DNVQ01000035.1       -         Sodium               RF03071    cm        1       55    31766    31710      -    no    1 0.28   0.0   28.4        58 ?   TPA_asm: Candidatus Moranbacteria bacterium isolate UBA12141 contig_794, whole genome shotgun sequence
NZ_WQLA01000005.1    -         Sodium               RF03071    cm        1       55   154617   154685      +    no    1 0.39   0.0   28.4        58 ?   Mucilaginibacter sp. HME9299 5, whole genome shotgun sequence
NZ_CM001398.1        -         Sodium               RF03071    cm        1       55  1568328  1568376      +    no    1 0.43   0.0   28.4        59 ?   Oenococcus kitaharae DSM 17330 chromosome, whole genome shotgun sequence
JAAXTT010000190.1    -         Sodium               RF03071    cm        1       55      915      860      -    no    1 0.43   0.0   28.3        61 ?   MAG: Peptococcaceae bacterium isolate W4_Combined_metabat1_111 W4_Combined_metabat1_111_NODE_50345, whole genome shotgun sequence
NZ_JAGT01000001.1    -         Sodium               RF03071    cm        1       55  2975697  2975753      +    no    1 0.33   0.0   28.3        61 ?   Ruminococcus flavefaciens AE3010 N774DRAFT_scf7180000000009_quiver.1_C, whole genome shotgun sequence
NZ_BANE01000127.1    -         Sodium               RF03071    cm        1       55      102       65      -    no    1 0.39   0.0   28.3        62 ?   Komagataeibacter hansenii JCM 7643, whole genome shotgun sequence
NZ_JTDO01000015.1    -         Sodium               RF03071    cm        1       55    19976    20022      +    no    1 0.23   0.3   28.2        65 ?   Neisseria arctica strain KH1503 contig15, whole genome shotgun sequence
WAQA01000077.1       -         Sodium               RF03071    cm        1       55    10643    10690      +    no    1 0.42   0.0   28.2        65 ?   Candidatus Bathyarchaeota archaeon isolate S146_99_esom k151_340918, whole genome shotgun sequence
URAZ01000041.1       -         Sodium               RF03071    cm        1       55    26363    26401      +    no    1 0.49   0.0   28.2        65 ?   uncultured Clostridiales bacterium isolate UMGS830 genome assembly, contig: NODE_782_length_29836_cov_7.726200, whole genome shotgun sequence
NZ_AZDT01000042.1    -         Sodium               RF03071    cm        1       55    18441    18489      +    no    1 0.51   0.0   28.2        65 ?   Lactobacillus namurensis DSM 19117 NODE_71, whole genome shotgun sequence
JABDBB010000047.1    -         Sodium               RF03071    cm        1       55     8828     8881      +    no    1 0.33   0.0   28.2        66 ?   Chlamydiae bacterium isolate BWOrgHeat_Nextera5_MAG1 3300020738.a:Ga0206889_1085, whole genome shotgun sequence
DHQC01000003.1       -         Sodium               RF03071    cm        1       55   143841   143888      +    no    1 0.23   0.2   28.1        68 ?   TPA_asm: Bacillales bacterium UBA5348 UBA5348_contig_2440, whole genome shotgun sequence
NZ_CP030868.2        -         Sodium               RF03071    cm        1       55  1826484  1826435      -    no    1 0.38   0.0   28.1        68 ?   Oenococcus sp. UCMA 16435 chromosome, complete genome
NHCZ02000023.1       -         Sodium               RF03071    cm        1       55    12298    12336      +    no    1 0.44   0.0   28.1        70 ?   Bacterium TMED46 isolate TMED46 96173, whole genome shotgun sequence
DBKT01000012.1       -         Sodium               RF03071    cm        1       55    15825    15773      -    no    1 0.40   0.0   28.0        71 ?   TPA_asm: Bacillales bacterium UBA743 UBA743_contig_342, whole genome shotgun sequence
NZ_CP019323.1        -         Sodium               RF03071    cm        1       55   848624   848579      -    no    1 0.52   0.0   28.0        72 ?   Lactobacillus allii strain WiKim39 chromosome, complete genome
NZ_BCWD01000010.1    -         Sodium               RF03071    cm        1       55     2018     2066      +    no    1 0.59   0.0   28.0        72 ?   Lactobacillus senmaizukei DSM 21775 = NBRC 103853, whole genome shotgun sequence
NC_012034.1          -         Sodium               RF03071    cm        1       55  2309575  2309622      +    no    1 0.40   0.0   28.0        72 ?   Caldicellulosiruptor bescii DSM 6725, complete sequence
NZ_JNLE01000003.1    -         Sodium               RF03071    cm        1       55  3299821  3299775      -    no    1 0.43   0.0   28.0        73 ?   Clostridium sp. KNHs205 BR73DRAFT_scf7180000000014_quiver.3_C, whole genome shotgun sequence
SCQF01000008.1       -         Sodium               RF03071    cm        1       55    34748    34803      +    no    1 0.52   0.0   28.0        73 ?   Verrucomicrobia bacterium isolate DP16D_bin.41 DP16D_bin.41-8660, whole genome shotgun sequence
PNMQ01000002.1       -         Sodium               RF03071    cm        1       55    42615    42563      -    no    1 0.42   0.0   28.0        73 ?   Candidatus Pelagibacter sp. isolate BC.3.83 BC_1000007_371646, whole genome shotgun sequence
NZ_MQTZ01000017.1    -         Sodium               RF03071    cm        1       55   142360   142315      -    no    1 0.30   0.0   28.0        74 ?   Leptolyngbya sp. 'hensonii' Contig_187, whole genome shotgun sequence
NZ_JAHOIJ010000047.1 -         Sodium               RF03071    cm        1       55    18906    18859      -    no    1 0.35   0.0   28.0        74 ?   Bacteroides cellulosilyticus strain MSK.18.13 NODE_47_length_40016_cov_125.316, whole genome shotgun sequence
WGCX01000055.1       -         Sodium               RF03071    cm        1       55     1937     1888      -    no    1 0.32   0.0   28.0        75 ?   Desulfobacteraceae bacterium isolate S145_18 k151_134809, whole genome shotgun sequence
JAAXHY010000323.1    -         Sodium               RF03071    cm        1       55      459      391      -    no    1 0.54   0.0   28.0        75 ?   Dehalococcoidia bacterium isolate Plut_88901 unfiltered_Plut_88901_genomic_contig_1228423, whole genome shotgun sequence
NZ_CP062973.1        -         Sodium               RF03071    cm        1       55   200717   200780      +    no    1 0.28   0.1   27.9        75 ?   Psychroflexus sp. ALD_RP9 chromosome, complete genome
CACHMU010000004.1    -         Sodium               RF03071    cm        1       55    47526    47478      -    no    1 0.24   0.1   27.9        76 ?   uncultured Candidatus Marinimicrobia bacterium isolate AG-426-L02 genome assembly, contig: AG-426-L02_NODE_4, whole genome shotgun sequence
JAGHIZ010000094.1    -         Sodium               RF03071    cm        1       55   120114   120171      +    no    1 0.21   1.2   27.9        79 ?   Butyricicoccus sp. isolate MAG.418 k127_1570311, whole genome shotgun sequence
JAHILQ010000301.1    -         Sodium               RF03071    cm        1       55     1586     1531      -    no    1 0.21   0.6   27.8        80 ?   MAG: Nitrospinae bacterium isolate KR13_N2.mb.31 KR13_N2.mb.31_k141_246932, whole genome shotgun sequence
JAHJSM010000001.1    -         Sodium               RF03071    cm        1       55   126306   126251      -    no    1 0.21   0.6   27.8        80 ?   MAG: Patescibacteria group bacterium isolate OS_PC_MetaG.mb.20 OS_PC_MetaG.mb.20_k141_214901, whole genome shotgun sequence
DMZB01000093.1       -         Sodium               RF03071    cm        1       55     3200     3157      -    no    1 0.50   0.0   27.8        81 ?   TPA_asm: Lactobacillus sp. isolate UBA11204 contig_15932, whole genome shotgun sequence
NZ_RHOC01000020.1    -         Sodium               RF03071    cm        1       55     5343     5386      +    no    1 0.50   0.0   27.8        81 ?   Lactobacillus huananensis strain 151-2B contig20, whole genome shotgun sequence
NZ_RHOS01000030.1    -         Sodium               RF03071    cm        1       55     8909     8952      +    no    1 0.50   0.0   27.8        81 ?   Lactobacillus keshanensis strain 33-7 contig30, whole genome shotgun sequence
NZ_JAEPKU010000033.1 -         Sodium               RF03071    cm        1       55    28980    28931      -    no    1 0.38   0.0   27.8        82 ?   Dysgonomonas sp. Marseille-P4677 NODE_33_length_35803_cov_13.409170, whole genome shotgun sequence
JAFPED010000198.1    -         Sodium               RF03071    cm        1       55     2999     3045      +    no    1 0.45   0.0   27.8        83 ?   Prevotella sp. isolate RGIG1061 Dairy_cattle_Reticulum-3__c1074287, whole genome shotgun sequence
JAAYZW010000016.1    -         Sodium               RF03071    cm        1       55    22495    22458      -    no    1 0.39   0.0   27.8        83 ?   Chloroflexi bacterium isolate AS06rmzACSIP_362 47560_AS06, whole genome shotgun sequence
JH610943.1           -         Sodium               RF03071    cm        1       55    11190    11096      -    no    1 0.33   0.0   27.8        84 ?   Prochloron didemni P4-Papua_New_Guinea genomic scaffold Scf_contig01007, whole genome shotgun sequence
NZ_BIFR01000002.1    -         Sodium               RF03071    cm        1       55  1023579  1023519      -    no    1 0.44   0.0   27.8        84 ?   Tengunoibacter tsumagoiensis strain Uno3 sequence2, whole genome shotgun sequence
CAIWKC010000022.1    -         Sodium               RF03071    cm        1       55     1476     1518      +    no    1 0.49   0.0   27.7        85 ?   uncultured Gallionellaceae bacterium isolate A2_bin-1030 genome assembly, contig: bin-1030:022/439, whole genome shotgun sequence
NZ_JQLY01000001.1    -         Sodium               RF03071    cm        1       55    77444    77503      +    no    1 0.30   0.0   27.7        86 ?   Methanobacterium sp. SMA-27 DL91DRAFT_unitig_0_quiver.1_C, whole genome shotgun sequence
VCAW01000079.1       -         Sodium               RF03071    cm        1       55    31632    31576      -    no    1 0.32   0.0   27.7        87 ?   Epsilonproteobacteria bacterium isolate symbiont_bin1 luo_tube_22, whole genome shotgun sequence
VCAW01000196.1       -         Sodium               RF03071    cm        1       55     7198     7142      -    no    1 0.32   0.0   27.7        87 ?   Epsilonproteobacteria bacterium isolate symbiont_bin1 luo_tube_32354, whole genome shotgun sequence
CAIVJR010000007.1    -         Sodium               RF03071    cm        1       55     8647     8600      -    no    1 0.40   0.0   27.7        87 ?   uncultured bacterium isolate Loclat_bin-19700 genome assembly, contig: bin-19700:07/10, whole genome shotgun sequence
CACZIY010000076.1    -         Sodium               RF03071    cm        1       55     6995     7048      +    no    1 0.31   0.0   27.7        89 ?   Ruminococcaceae bacterium isolate RUG12659 genome assembly, contig: RUG12659_asm_76, whole genome shotgun sequence
NZ_DF820486.1        -         Sodium               RF03071    cm        1       55    63411    63365      -    no    1 0.45   0.0   27.7        89 ?   Weissella oryzae SG25, whole genome shotgun sequence
JACZJK010000016.1    -         Sodium               RF03071    cm        1       55   310780   310826      +    no    1 0.38   0.0   27.6        91 ?   Bacteroidales bacterium isolate MAG17 bacteroidetes_3_contig_238281, whole genome shotgun sequence
NZ_JPLZ01000006.1    -         Sodium               RF03071    cm        1       55  1151339  1151385      +    no    1 0.26   0.0   27.6        91 ?   Chryseobacterium sp. FH1 contig06, whole genome shotgun sequence
DUOI01000116.1       -         Sodium               RF03071    cm        1       55      245      286      +    no    1 0.50   0.0   27.6        92 ?   MAG TPA_asm: Clostridiales bacterium isolate AS08sgBPME_164 269555_AS08, whole genome shotgun sequence
WFXA01000224.1       -         Sodium               RF03071    cm        1       55     7612     7560      -    no    1 0.30   0.0   27.6        92 ?   Flavobacteriaceae bacterium isolate S141_30 k151_47529, whole genome shotgun sequence
SLIL01000469.1       -         Sodium               RF03071    cm        1       55     5876     5806      -    no    1 0.49   0.0   27.6        93 ?   Bacteroidales bacterium isolate CSSed165cm_199 CSSed16-5cm-5461, whole genome shotgun sequence
JAGAKD010000001.1    -         Sodium               RF03071    cm        1       55     8475     8433      -    no    1 0.28   0.0   27.6        93 ?   Lachnospiraceae bacterium isolate RGIG8516 Water_deer_Cecum-2__c168, whole genome shotgun sequence
JAGAKD010000203.1    -         Sodium               RF03071    cm        1       55     8874     8832      -    no    1 0.28   0.0   27.6        93 ?   Lachnospiraceae bacterium isolate RGIG8516 Water_deer_Cecum-2__c390863, whole genome shotgun sequence
CADDZD010000142.1    -         Sodium               RF03071    cm        1       55      190      244      +    no    1 0.58   0.0   27.6        93 ?   Clostridia bacterium isolate 25 genome assembly, contig: NODE_24866_length_3371_cov_56.489827, whole genome shotgun sequence
NZ_CADIKK010000008.1 -         Sodium               RF03071    cm        1       55   219222   219277      +    no    1 0.41   0.0   27.6        94 ?   Paraburkholderia ultramafica strain LMG 28614 isolate LMG 28614, whole genome shotgun sequence
NZ_WVEM01000010.1    -         Sodium               RF03071    cm        1       55     9307     9344      +    no    1 0.37   0.0   27.5        96 ?   Sunxiuqinia sp. RC1_OXG_1F NODE_10_length_175589_cov_72.583861, whole genome shotgun sequence
NZ_SNZA01000004.1    -         Sodium               RF03071    cm        1       55   252458   252391      -    no    1 0.51   0.0   27.5        99 ?   Marinomonas communis strain DSM 5604 Ga0215679_104, whole genome shotgun sequence
NZ_VISE01000001.1    -         Sodium               RF03071    cm        1       55  1089011  1088964      -    no    1 0.23   0.1   27.5        99 ?   Gillisia sp. Hel_I_86 JM83DRAFT_unitig_0_quiver.1, whole genome shotgun sequence
#
# Program:         cmsearch
# Version:         1.1.4 (Dec 2020)
# Pipeline mode:   SEARCH
# Query file:      sto/DUF1646/RF03071.sto.cm
# Target file:     ./gtdb/gtdb-bact-r207-repr.fna.gz
# Option settings: cmsearch -o searches/gtdb-bact_DUF1646_1/gtdb-bact_DUF1646_1.out -A searches/gtdb-bact_DUF1646_1/gtdb-bact_DUF1646_1.out.sto --tblout searches/gtdb-bact_DUF1646_1/gtdb-bact_DUF1646_1.out.tbl -E 100.0 --incE 0.01 sto/DUF1646/RF03071.sto.cm ./gtdb/gtdb-bact-r207-repr.fna.gz 
# Current dir:     /gpfs/ysm/project/breaker/jps228
# Date:            Sun Feb 26 22:31:26 2023
# [ok]
